Years,Births,Carrying Capacity,Deaths,Effect of Population Size on Births,Initial Carrying Capacity,Initial Max Crude Birth Rate,Initial Mortality Rate,Initial Population,Max Crude Birth Rate,Mortality Rate,Population,Population Fraction,IP1 Crude Birth Rate.ES,IP1 Crude Birth Rate.Intervention Point,IP1 Crude Birth Rate.SW,IP1 Crude Birth Rate.T1,IP2 Mortality Rate.ES,IP2 Mortality Rate.Intervention Point,IP2 Mortality Rate.SW,IP2 Mortality Rate.T1,IP3 Carrying Capacity.ES,IP3 Carrying Capacity.Intervention Point,IP3 Carrying Capacity.SW,IP3 Carrying Capacity.T1,IP4 Effect of Population Size on Births.ES,IP4 Effect of Population Size on Births.Intervention Point,IP4 Effect of Population Size on Births.SW,IP4 Effect of Population Size on Births.T1
94.7099609375,4.5054875642,120,4.49725370385,0.250457682521,80,0.2,0.05,120,0.2,0.05,89.9450780974,0.749542317479,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7109375,4.50548676164,120,4.49725410587,0.250457615524,80,0.2,0.05,120,0.2,0.05,89.9450861371,0.749542384476,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7119140625,4.5054859592,120,4.49725450782,0.250457548536,80,0.2,0.05,120,0.2,0.05,89.9450941757,0.749542451464,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.712890625,4.50548515688,120,4.49725490972,0.250457481558,80,0.2,0.05,120,0.2,0.05,89.945102213,0.749542518442,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7138671875,4.50548435467,120,4.49725531156,0.25045741459,80,0.2,0.05,120,0.2,0.05,89.9451102492,0.74954258541,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.71484375,4.50548355258,120,4.49725571334,0.250457347632,80,0.2,0.05,120,0.2,0.05,89.9451182842,0.749542652368,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7158203125,4.50548275061,120,4.49725611506,0.250457280683,80,0.2,0.05,120,0.2,0.05,89.945126318,0.749542719317,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.716796875,4.50548194876,120,4.49725651672,0.250457213744,80,0.2,0.05,120,0.2,0.05,89.9451343507,0.749542786256,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7177734375,4.50548114702,120,4.49725691832,0.250457146816,80,0.2,0.05,120,0.2,0.05,89.9451423821,0.749542853184,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.71875,4.5054803454,120,4.49725731987,0.250457079896,80,0.2,0.05,120,0.2,0.05,89.9451504124,0.749542920104,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7197265625,4.5054795439,120,4.49725772135,0.250457012987,80,0.2,0.05,120,0.2,0.05,89.9451584416,0.749542987013,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.720703125,4.50547874251,120,4.49725812278,0.250456946087,80,0.2,0.05,120,0.2,0.05,89.9451664695,0.749543053913,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7216796875,4.50547794124,120,4.49725852415,0.250456879198,80,0.2,0.05,120,0.2,0.05,89.9451744963,0.749543120802,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.72265625,4.50547714009,120,4.49725892546,0.250456812318,80,0.2,0.05,120,0.2,0.05,89.9451825219,0.749543187682,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7236328125,4.50547633905,120,4.49725932671,0.250456745447,80,0.2,0.05,120,0.2,0.05,89.9451905463,0.749543254553,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.724609375,4.50547553814,120,4.4972597279,0.250456678587,80,0.2,0.05,120,0.2,0.05,89.9451985696,0.749543321413,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7255859375,4.50547473734,120,4.49726012903,0.250456611736,80,0.2,0.05,120,0.2,0.05,89.9452065916,0.749543388264,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7265625,4.50547393665,120,4.49726053011,0.250456544895,80,0.2,0.05,120,0.2,0.05,89.9452146125,0.749543455105,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
